11 10	11.00 10.00
0.10553371460202597 -0.05408694328885379 0.05208112169446016 -0.09560953521608319 -0.0036351240508803633 -0.061573798231783584 0.06660220423625177 0.05378297305835448 -0.03708738645213336 0.026862042985299345	0.11 -0.05 0.05 -0.10 -0.00 -0.06 0.07 0.05 -0.04 0.03
0.08143048560982871 0.05225669528802275 -0.03127055945438206 0.028273251417786527 -0.13497073628481715 0.054072470973674965 0.0255515959684385 -0.01832214025948145 0.006424438672828452 -0.05805683066562588	-0.00 0.05 -0.03 0.03 -0.13 0.05 0.03 -0.02 0.01 -0.06
-0.05563540455114838 -0.0628518885085794 -0.088245005839821 0.11012045597904893 0.13041126884690024 -0.03579291040255813 0.024093921674457786 0.002086643673125155 -0.022353495311182983 0.04390031245271611	-0.06 -0.06 -0.09 0.11 0.13 -0.04 0.02 0.00 -0.02 0.04
-0.011201526071323364 0.020017413993402223 -0.0050393037285250885 -0.03897759009496475 -0.06782553445322342 0.11194370198668224 0.08822175952825183 -0.06567865796391992 0.05643271996822318 -0.07698728796067866	-0.01 0.02 -0.01 -0.04 -0.07 0.11 0.09 -0.07 0.06 -0.08
-0.06773416255181683 0.03606897206066122 -0.04905073053029883 0.07590177830269257 0.10777849092251225 0.06874636441861172 -0.1513055415117984 0.010260758680586237 -0.1349657796458977 0.13740859213763332	-0.07 0.04 -0.05 0.08 0.11 0.07 -0.15 0.01 -0.13 0.14
0.0703434420317112 -0.046120622895250395 0.05164507892396127 -0.030409289440960812 0.0027843541599366153 -0.08387048239422597 0.015259960084433378 -0.04218570916509201 0.0884957318665174 0.03898095823911284	0.07 -0.05 0.05 -0.03 0.00 -0.08 0.02 -0.04 0.09 0.04
-0.03909780722633415 0.11345223869808188 0.012850085442763446 0.05605627729215854 -0.005698970625759201 -0.0055317199037181065 -0.016568157211588 0.02646645426395243 -0.11251556966208577 -0.027949735628879688	-0.04 0.11 0.01 0.06 -0.01 -0.01 -0.02 0.03 -0.11 -0.03
-0.00023788234875599243 0.019796834959531738 -0.019812201878264105 0.02588383031890005 -0.09952380807194479 -0.07638763022873435 -0.07220738867793756 0.004613812692247139 0.0612691226407902 0.16606193537290265	-0.00 0.02 -0.02 0.03 -0.10 -0.08 -0.07 0.00 0.06 0.17
0.007795619330933821 0.028277894563152998 0.03801379239736271 -0.0978166234945583 0.08466797367353783 -0.016689108376642378 0.008167200945381849 0.09015279379480805 -0.023232787380806388 -0.12134383293332161	0.01 0.03 0.04 -0.10 0.08 -0.02 0.01 0.09 -0.02 -0.12
-0.1266269753881086 -0.06400263158722229 0.07500384292439936 -0.003982516961554371 0.0023945440423126137 0.08749265572058688 0.011504722125670561 -0.011460225156613128 0.12386417008684465 -0.12630359723051773	-0.13 -0.06 0.08 -0.00 0.00 0.09 0.01 -0.01 0.12 -0.13




0.4154426887990901 0.36866939289084627 0.5619328768117695 -0.6218936772569992 -0.6914123938345391 0.41960461683645073	0.42 0.37 0.56 -0.62 -0.69 0.42
0.03448108984441165 -0.10254797106008179 0.12841483775739831 0.0006291286568103072 -0.0261088392576282 0.044087400488784574	0.03 -0.10 0.13 0.00 -0.03 0.04
-0.09069131560481042 -0.0720352312047814 -0.16722723643138868 0.19062598301352635 0.08902170493865998 -0.02613303651365935	-0.09 -0.07 -0.17 0.19 0.09 -0.03
0.021124204515207974 0.10349166404529726 -0.03922375202652018 0.03617489776659327 -0.0012582573136206293 -0.0803590872795025	0.02 0.10 -0.04 0.04 -0.00 -0.08
-0.1948121083069179 -0.39886756841774146 -0.4160476201998693 0.4441648317080843 0.5671594841145013 -0.2589106395334768	-0.19 -0.40 -0.42 0.44 0.57 -0.26
-0.060565731846008705 0.1752123309216735 0.12391414813560138 -0.16671909405473417 -0.08115759672853094 0.08606963970285766	-0.06 0.18 0.12 -0.17 -0.08 0.09




-1 0 -1 5	-1.00 0.00 -1.00 5.00
2 -2 -7 -2	2.00 -2.00 -7.00 -2.00
2 -6 0 2	2.00 -6.00 0.00 2.00




7 3 4 -3 -1 0 -5 -5	7.00 3.00 4.00 -3.00 -1.00 0.00 -5.00 -5.00
0 3 -6 4 4 3 6 0	0.00 3.00 -6.00 4.00 4.00 3.00 6.00 0.00
-7 4 -6 -2 0 1 -4 -3	-7.00 4.00 -6.00 -2.00 0.00 1.00 -4.00 -3.00
4 2 -3 6 -2 -1 0 -7	4.00 2.00 -3.00 6.00 -2.00 -1.00 0.00 -7.00
2 -1 3 -1 1 -1 -2 4	2.00 -1.00 3.00 -1.00 1.00 -1.00 -2.00 4.00
0 4 -5 -4 -1 5 1 0	0.00 4.00 -5.00 -4.00 -1.00 5.00 1.00 0.00




0 7 -2	0.00 7.00 -2.00
0 -1 2	0.00 -1.00 2.00
4 1 2	4.00 1.00 2.00
2 5 4	2.00 5.00 4.00
-2 6 0	-2.00 6.00 0.00




-4 5 -3	-4.00 5.00 -3.00
1 8 3	1.00 8.00 3.00
1 1 -8	1.00 1.00 -8.00




5 5 -8 -1 6 -1 6	5.00 5.00 -8.00 -1.00 6.00 -1.00 6.00
-2 -1 -5 -5 1 -2 3	-2.00 -1.00 -5.00 -5.00 1.00 -2.00 3.00
6 -8 6 -3 -9 7 0	6.00 -8.00 6.00 -3.00 -9.00 7.00 0.00
-5 0 2 1 -5 9 -3	-5.00 0.00 2.00 1.00 -5.00 9.00 -3.00




5 3 5 1 3 3 -3 1	5.00 3.00 5.00 1.00 3.00 3.00 -3.00 1.00
3 0 -4 1 -8 3 1 0	3.00 0.00 -4.00 1.00 -8.00 3.00 1.00 0.00
9 -2 3 -6 2 1 9 1	9.00 -2.00 3.00 -6.00 2.00 1.00 9.00 1.00
1 -2 3 -1 -2 3 6 -1	1.00 -2.00 3.00 -1.00 -2.00 3.00 6.00 -1.00
-9 -4 -8 0 -2 3 -1 5	-9.00 -4.00 -8.00 0.00 -2.00 3.00 -1.00 5.00
-6 -1 -4 6 4 6 -1 -4	-6.00 -1.00 -4.00 6.00 4.00 6.00 -1.00 -4.00
0 -5 1 -4 3 5 1 3	0.00 -5.00 1.00 -4.00 3.00 5.00 1.00 3.00
-1 1 -9 -2 2 2 -4 0	-1.00 1.00 -9.00 -2.00 2.00 2.00 -4.00 0.00




4 4 5 2 5 -1 -3 2 3	4.00 4.00 5.00 2.00 5.00 -1.00 -3.00 2.00 3.00
-1 1 -2 -2 3 -8 1 -6 0	-1.00 1.00 -2.00 -2.00 3.00 -8.00 1.00 -6.00 0.00
2 -1 -2 -5 0 3 7 0 -2	2.00 -1.00 -2.00 -5.00 0.00 3.00 7.00 0.00 -2.00
0 7 -6 1 -2 -5 3 1 -6	0.00 7.00 -6.00 1.00 -2.00 -5.00 3.00 1.00 -6.00
-7 0 6 6 -4 2 -7 0 4	-7.00 0.00 6.00 6.00 -4.00 2.00 -7.00 0.00 4.00
5 2 2 -9 3 -7 -2 -1 3	5.00 2.00 2.00 -9.00 3.00 -7.00 -2.00 -1.00 3.00
-1 7 8 4 -3 -6 -6 -3 0	-1.00 7.00 8.00 4.00 -3.00 -6.00 -6.00 -3.00 0.00
-2 8 0 7 -2 1 4 2 3	-2.00 8.00 0.00 7.00 -2.00 1.00 4.00 2.00 3.00
-5 -3 4 -1 -2 -2 0 7 1	-5.00 -3.00 4.00 -1.00 -2.00 -2.00 0.00 7.00 1.00
2 -2 1 5 -2 -5 -6 -4 5	2.00 -2.00 1.00 5.00 -2.00 -5.00 -6.00 -4.00 5.00




-3 3 -3 -8	-3.00 3.00 -3.00 -8.00
0 -2 4 -3	0.00 -2.00 4.00 -3.00
0 0 -3 -4	0.00 0.00 -3.00 -4.00
-1 -3 1 6	-1.00 -3.00 1.00 6.00
3 0 4 2	3.00 0.00 4.00 2.00
-5 -9 1 3	-5.00 -9.00 1.00 3.00
5 6 -3 -5	5.00 6.00 -3.00 -5.00
3 -1 0 4	3.00 -1.00 0.00 4.00
4 -5 3 1	4.00 -5.00 3.00 1.00
1 -2 3 5	1.00 -2.00 3.00 5.00




3 1 5 5 -7	3.00 1.00 5.00 5.00 -7.00
6 7 2 -2 -3	6.00 7.00 2.00 -2.00 -3.00
1 -1 5 2 3	1.00 -1.00 5.00 2.00 3.00




-3 -5	-3.00 -5.00
0 -4	0.00 -4.00
7 -7	7.00 -7.00
-2 2	-2.00 2.00
-4 6	-4.00 6.00
-1 -3	-1.00 -3.00
1 -1	1.00 -1.00




254 231 132	254.00 231.00 132.00
191 203 158	191.00 203.00 158.00
204 158 128	204.00 158.00 128.00




91 144 115 218 137 215 128	91.00 144.00 115.00 218.00 137.00 215.00 128.00
118 164 144 232 159 228 163	118.00 164.00 144.00 232.00 159.00 228.00 163.00
90 72 81 102 106 115 52	90.00 72.00 81.00 102.00 106.00 115.00 52.00
134 168 130 177 141 181 127	134.00 168.00 130.00 177.00 141.00 181.00 127.00
112 131 115 130 115 121 111	112.00 131.00 115.00 130.00 115.00 121.00 111.00
47 109 66 141 47 142 74	47.00 109.00 66.00 141.00 47.00 142.00 74.00
44 143 74 167 50 138 70	44.00 143.00 74.00 167.00 50.00 138.00 70.00




139 127 99 157 195 166 155 76	5.00 40.00 0.00 30.00 10.00 15.00 35.00 30.00
94 101 102 79 120 92 62 70	35.00 10.00 30.00 25.00 5.00 0.00 15.00 0.00
182 146 116 212 260 192 137 125	40.00 15.00 40.00 5.00 25.00 5.00 45.00 35.00
135 117 114 138 191 124 124 98	10.00 0.00 15.00 45.00 10.00 20.00 35.00 25.00
154 115 93 176 208 171 164 76	5.00 30.00 0.00 30.00 10.00 15.00 35.00 45.00
159 157 96 189 251 136 138 142	15.00 10.00 10.00 10.00 45.00 40.00 30.00 25.00
97 98 94 97 147 106 114 81	0.00 10.00 5.00 45.00 0.00 25.00 30.00 15.00
169 169 138 189 258 213 157 145	40.00 30.00 45.00 20.00 10.00 20.00 45.00 20.00




132 223 255 255 197 144	132.00 223.00 255.00 255.00 197.00 144.00
160 180 232 196 159 146	160.00 180.00 232.00 196.00 159.00 146.00
135 171 239 159 180 176	135.00 171.00 239.00 159.00 180.00 176.00
110 199 248 184 124 121	110.00 199.00 248.00 184.00 124.00 121.00
127 137 178 121 69 129	127.00 137.00 178.00 121.00 69.00 129.00
156 170 219 186 144 204	156.00 170.00 219.00 186.00 144.00 204.00




224 247 172	224.00 247.00 172.00
271 269 228	271.00 269.00 228.00
284 313 237	284.00 313.00 237.00




160 161 37 84	160.00 161.00 37.00 84.00
124 154 39 38	124.00 154.00 39.00 38.00
130 160 31 45	130.00 160.00 31.00 45.00
91 50 12 39	91.00 50.00 12.00 39.00




141 166	141.00 166.00
161 234	161.00 234.00




106 125 36	106.00 125.00 36.00
101 137 48	101.00 137.00 48.00
113 92 20	113.00 92.00 20.00




214 162	214.00 162.00
207 206	207.00 206.00




52 50 139 106 121 103 138 72 98 75	52.00 50.00 139.00 106.00 121.00 103.00 138.00 72.00 98.00 75.00
23 22 77 37 57 52 69 30 54 40	23.00 22.00 77.00 37.00 57.00 52.00 69.00 30.00 54.00 40.00
58 71 106 122 120 68 162 132 108 116	58.00 71.00 106.00 122.00 120.00 68.00 162.00 132.00 108.00 116.00
56 85 41 86 72 44 98 81 78 83	56.00 85.00 41.00 86.00 72.00 44.00 98.00 81.00 78.00 83.00
97 74 194 153 164 143 201 126 116 131	97.00 74.00 194.00 153.00 164.00 143.00 201.00 126.00 116.00 131.00
123 122 179 166 171 134 233 171 145 183	123.00 122.00 179.00 166.00 171.00 134.00 233.00 171.00 145.00 183.00
93 64 135 109 110 103 147 105 68 116	93.00 64.00 135.00 109.00 110.00 103.00 147.00 105.00 68.00 116.00
135 144 138 183 158 135 199 144 124 157	135.00 144.00 138.00 183.00 158.00 135.00 199.00 144.00 124.00 157.00
119 126 191 161 175 158 217 126 154 154	119.00 126.00 191.00 161.00 175.00 158.00 217.00 126.00 154.00 154.00
118 105 128 148 129 117 166 123 86 134	118.00 105.00 128.00 148.00 129.00 117.00 166.00 123.00 86.00 134.00




8 2 3 9 3	8.00 2.00 3.00 9.00 3.00
4 8 7 8 3	4.00 8.00 7.00 8.00 3.00
0 7 1 6 3	0.00 7.00 1.00 6.00 3.00
9 9 3 4 5	9.00 9.00 3.00 4.00 5.00
0 9 5 0 0	0.00 9.00 5.00 0.00 0.00




6 8	6.00 8.00
4 6	4.00 6.00




2 6 0 5 2 8	2.00 6.00 0.00 5.00 2.00 8.00
2 7 8 5 3 9	2.00 7.00 8.00 5.00 3.00 9.00
6 9 3 0 3 1	6.00 9.00 3.00 0.00 3.00 1.00
8 3 0 2 3 8	8.00 3.00 0.00 2.00 3.00 8.00
4 0 6 5 4 0	4.00 0.00 6.00 5.00 4.00 0.00
8 9 8 4 1 0	8.00 9.00 8.00 4.00 1.00 0.00




6 2 9 2 5 6 9 7 1 5	6.00 2.00 9.00 2.00 5.00 6.00 9.00 7.00 1.00 5.00
0 6 5 8 0 9 2 2 3 7	0.00 6.00 5.00 8.00 0.00 9.00 2.00 2.00 3.00 7.00
5 7 3 5 1 8 5 0 7 3	5.00 7.00 3.00 5.00 1.00 8.00 5.00 0.00 7.00 3.00
5 3 7 4 5 9 8 7 0 9	5.00 3.00 7.00 4.00 5.00 9.00 8.00 7.00 0.00 9.00
2 2 3 8 2 4 3 0 0 6	2.00 2.00 3.00 8.00 2.00 4.00 3.00 0.00 0.00 6.00
2 8 4 0 7 5 6 6 5 5	2.00 8.00 4.00 0.00 7.00 5.00 6.00 6.00 5.00 5.00
4 8 9 8 3 7 3 4 1 9	4.00 8.00 9.00 8.00 3.00 7.00 3.00 4.00 1.00 9.00
0 9 3 0 7 7 7 9 3 9	0.00 9.00 3.00 0.00 7.00 7.00 7.00 9.00 3.00 9.00
9 5 6 2 6 9 2 5 0 5	9.00 5.00 6.00 2.00 6.00 9.00 2.00 5.00 0.00 5.00
7 3 7 6 3 8 2 3 2 1	7.00 3.00 7.00 6.00 3.00 8.00 2.00 3.00 2.00 1.00




9 7 8 4 3 5 7 2	9.00 7.00 8.00 4.00 3.00 5.00 7.00 2.00
3 9 1 4 2 9 8 8	3.00 9.00 1.00 4.00 2.00 9.00 8.00 8.00
3 9 8 7 0 8 4 3	3.00 9.00 8.00 7.00 0.00 8.00 4.00 3.00
3 1 1 0 8 6 9 0	3.00 1.00 1.00 0.00 8.00 6.00 9.00 0.00
9 6 2 1 9 9 3 2	9.00 6.00 2.00 1.00 9.00 9.00 3.00 2.00
9 0 9 4 5 7 2 6	9.00 0.00 9.00 4.00 5.00 7.00 2.00 6.00
0 3 5 6 7 1 4 0	0.00 3.00 5.00 6.00 7.00 1.00 4.00 0.00
9 5 6 4 2 0 5 6	9.00 5.00 6.00 4.00 2.00 0.00 5.00 6.00




8 1 7 0 1	8.00 1.00 7.00 0.00 1.00
0 6 2 7 4	0.00 6.00 2.00 7.00 4.00
3 9 4 5 4	3.00 9.00 4.00 5.00 4.00
0 7 6 4 3	0.00 7.00 6.00 4.00 3.00
0 7 4 9 1	0.00 7.00 4.00 9.00 1.00




0 4	0.00 4.00
5 2	5.00 2.00




1 6 9	1.00 6.00 9.00
9 8 0	9.00 8.00 0.00
7 3 1	7.00 3.00 1.00




4 1 0 5	4.00 1.00 0.00 5.00
1 8 4 8	1.00 8.00 4.00 8.00
7 2 7 1	7.00 2.00 7.00 1.00
5 0 9 8	5.00 0.00 9.00 8.00




0 6 8	0.00 6.00 8.00
5 6 0	5.00 6.00 0.00
1 6 1	1.00 6.00 1.00




368.0000000000001]	368.00




-226900.0000000002]	-226900.00




10656.000000000005]	10656.00




3269556.0000000237]	3269556.00




32.0]	32.00




-83648637.00000012]	-83648637.00




-1585872.000000003]	-1585872.00




-1311.9999999999961]	-1312.00




-239659097.99999952]	-239659098.00




-184119095.99999988]	-184119096.00




